section,phase,status,entity_type,code,station_id,station_name,track,spot,rpt_station,remarks,shipment_code,proposed_shipment_code,flow,via,layout_industry,island_spot,party_name,route_from,route_to,commodity,car_type,current_load_loc,current_unload_loc,proposed_load_loc,proposed_unload_loc,dest_station_id,dest_station_name,special_instructions,tables_affected,decision_notes
design_pattern,3_ix_through,proposed,rule,,,,,,,,,,,,,,,,,,,,,,,"Phase 3: POHC↔CSX through traffic — no Neville Island spotting. Cars load/unload at Offline party codes on the interchange yards, same naming as island locals.",locations;shipments;generate_hart_seed.py,,,
design_pattern,3_ix_through,proposed,rule,,,,,,,,,,,,,,,,,,,,,,,POHC→CSX (RouteChain POHC): load SCL-IN-{party} @ Scully → unload DEM-OUT-{party} @ Demmler. dest_station_id=14 (Mckeesport PA) for pickup criteria.,,,,
design_pattern,3_ix_through,proposed,rule,,,,,,,,,,,,,,,,,,,,,,,CSX→POHC (RouteChain CSX): load DEM-IN-{party} @ Demmler → unload SCL-OUT-{party} @ Scully. dest_station_id=15 (McKees Rock PA) for pickup criteria.,,,,
design_pattern,3_ix_through,proposed,rule,,,,,,,,,,,,,,,,,,,,,,,Reuse existing Offline codes from Phases 1–2 when the same party appears on the correct side; add new codes only for IX-only parties or opposite-side reuse.,hart_scully_nville_shipping_map_proposed.csv,,,
design_pattern,3_ix_through,proposed,rule,,,,,,,,,,,,,,,,,,,,,,,Shipment codes: IX-{COMMODITY}-{ORIGIN}-{DEST} per hart_shipment_code_renames_proposed.csv. special_instructions POHC->CSX or CSX->POHC.,shipments,,,
location,3_ix_through,proposed,location,ALLEGHEN-SLAB-MK,14,Mckeesport-PA,Staging,IN,"Allegheny Ludlum (Brackenridge, PA)",Allegheny Ludlum,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,BETHLEHM-PLAT,14,Mckeesport-PA,Staging,IN,"Bethlehem Steel (Bethlehem, PA)",Bethlehem Steel,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,CALGON-IN,14,Mckeesport-PA,Staging,IN,"Calgon Corp (Columbus, OH)",Calgon Corp,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,DUBUQUE-MEAT,14,Mckeesport-PA,Staging,IN,"Dubuque Packing Co (Dubuque, IA)",Dubuque Packing Co,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,GENLCHEM-HCLA,14,Mckeesport-PA,Staging,IN,"General Chemical (Parsippany, NJ)",General Chemical,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,GENLCHEM-PHOS,14,Mckeesport-PA,Staging,IN,"General Chemical (Parsippany, NJ)",General Chemical,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,REPUBLIC-BILL-MK,14,Mckeesport-PA,Staging,IN,"Republic Steel (Cleveland, OH)",Republic Steel,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,REPUBLIC-COIL-MK,14,Mckeesport-PA,Staging,IN,"Republic Steel (Cleveland, OH)",Republic Steel,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,STDFORGE-FORG,14,Mckeesport-PA,Staging,IN,Standard Forged Products (McKees Rocks-PA),Standard Forged Products,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,UNIVSS-SBAR,14,Mckeesport-PA,Staging,IN,"Universal Stainless & Alloy (Bridgeville, PA)",Universal Stainless & Alloy,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,WEIRTON-SLAB,14,Mckeesport-PA,Staging,IN,"Weirton Steel (Weirton, WV)",Weirton Steel,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,WEIRTON-COIL,14,Mckeesport-PA,Staging,IN,"Weirton Steel (Weirton, WV)",Weirton Steel,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,ARMCO-SLAB,14,Mckeesport-PA,Staging,OUT,"Armco Steel (Middletown, OH)",Armco Steel,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,CATERPIL-FORG,14,Mckeesport-PA,Staging,OUT,"Caterpillar (Peoria, IL)",Caterpillar,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,JOHNDEER-COIL,14,Mckeesport-PA,Staging,OUT,"John Deere (Moline, IL)",John Deere,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,DUPONT-MMA,14,Mckeesport-PA,Staging,OUT,"DuPont (Wilmington, DE)",DuPont,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,GE-ARGN,14,Mckeesport-PA,Staging,OUT,"GE (Bridgeville, PA)",GE,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,GRAYBAR-TUBE,14,Mckeesport-PA,Staging,OUT,"Graybar Electric (St. Louis, MO)",Graybar Electric,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,HEINZ-PHOS,14,Mckeesport-PA,Staging,OUT,"Heinz (Pittsburgh, PA)",Heinz,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,HEINZ-TINP,14,Mckeesport-PA,Staging,OUT,"Heinz (Pittsburgh, PA)",Heinz,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,HOLCIM-CEMT,14,Mckeesport-PA,Staging,OUT,"Holcim (Buffalo, NY)",Holcim,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,KNOUSE-CEMT,14,Mckeesport-PA,Staging,OUT,"Knouse Foods (Orrtanna, PA)",Knouse Foods,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,KNOUSE-IGAS,14,Mckeesport-PA,Staging,OUT,"Knouse Foods (Orrtanna, PA)",Knouse Foods,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,MCCONWAY-SCRP,14,Mckeesport-PA,Staging,OUT,"McConway & Torley (Pittsburgh, PA)",McConway & Torley,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,MCCONWAY-BILL,14,Mckeesport-PA,Staging,OUT,"McConway & Torley (Pittsburgh, PA)",McConway & Torley,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,OWENSTOL-PLST,14,Mckeesport-PA,Staging,OUT,"Owens-Illinois (Toledo, OH)",Owens-Illinois,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,OWENSTOL-PRES,14,Mckeesport-PA,Staging,OUT,"Owens-Illinois (Toledo, OH)",Owens-Illinois,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,PENELEC-LAMP,14,Mckeesport-PA,Staging,OUT,"Penelec (Erie, PA)",Penelec,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,RYERSON-SBAR,14,Mckeesport-PA,Staging,OUT,"Ryerson Steel (Chicago, IL)",Ryerson Steel,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,SUBURBAN-LPG,14,Mckeesport-PA,Staging,OUT,"Suburban Propane (Buffalo, NY)",Suburban Propane,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,SYSCO-FRZN,14,Mckeesport-PA,Staging,OUT,"Sysco Foods (Harrisburg, PA)",Sysco Foods,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,AIRPROD-ARGN,15,McKees Rocks-PA,Staging,IN,"Air Products (Allentown, PA)",Air Products,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,BASF-PLST-MR,15,McKees Rocks-PA,Staging,IN,"BASF (Wyandotte, MI)",BASF,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,GE-LAMP,15,McKees Rocks-PA,Staging,IN,"GE (Bridgeville, PA)",GE,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,GE-TUBE,15,McKees Rocks-PA,Staging,IN,"GE (Bridgeville, PA)",GE,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,HEINZ-FRZN,15,McKees Rocks-PA,Staging,IN,"Heinz (Pittsburgh, PA)",Heinz,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,MAPCO-LPG,15,McKees Rocks-PA,Staging,IN,"Mapco LP (Memphis, TN)",Mapco LP,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,MEDUS-CEMT-MR,15,McKees Rocks-PA,Staging,IN,"Medusa Cement (Charlevoix, MI)",Medusa Cement,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,STDFO-FORG-MR,15,McKees Rocks-PA,Staging,IN,Standard Forged Products (McKees Rocks-PA),Standard Forged Products,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,UNIVS-SBAR-MR,15,McKees Rocks-PA,Staging,IN,"Universal Stainless & Alloy (Bridgeville, PA)",Universal Stainless & Alloy,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,WEIRTON-SLAB-MR,15,McKees Rocks-PA,Staging,IN,"Weirton Steel (Weirton, WV)",Weirton Steel,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,WHEELING-TINP,15,McKees Rocks-PA,Staging,IN,"Wheeling-Pittsburgh Steel (Wheeling, WV)",Wheeling-Pittsburgh Steel,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,AMERICAN-COAL,15,McKees Rocks-PA,Staging,OUT,"American Electric Power (Columbus, OH)",American Electric Power,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,CARPENTR-SBAR,15,McKees Rocks-PA,Staging,OUT,"Carpenter Steel (Reading, PA)",Carpenter Steel,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,GE-ARGN,15,McKees Rocks-PA,Staging,OUT,"GE (Bridgeville, PA)",GE,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,GE-PHOS,15,McKees Rocks-PA,Staging,OUT,"GE (Bridgeville, PA)",GE,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,GIANTEAG-MEAT,15,McKees Rocks-PA,Staging,OUT,"Giant Eagle (Pittsburgh, PA)",Giant Eagle,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,HOUGH-ACAR-MR,15,McKees Rocks-PA,Staging,OUT,"Houghton Chemical (Allston, MA)",Houghton Chemical,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,KNOUSE-IGAS-MR,15,McKees Rocks-PA,Staging,OUT,"Knouse Foods (Orrtanna, PA)",Knouse Foods,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,MCCONWAY-STG-MR,15,McKees Rocks-PA,Staging,OUT,"McConway & Torley (Pittsburgh, PA)",McConway & Torley,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,RYERSON-STG-MR,15,McKees Rocks-PA,Staging,OUT,Ryerson Steel Service,Ryerson Steel Service,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,OWENS-PRES-MR,15,McKees Rocks-PA,Staging,OUT,"Owens-Illinois (Ottawa, IL)",Owens-Illinois,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,STDFORGE-BILL,15,McKees Rocks-PA,Staging,OUT,Standard Forged Products (McKees Rocks-PA),Standard Forged Products,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,SHARON-FORG,15,McKees Rocks-PA,Staging,OUT,"Sharon Steel (Farrell, PA)",Sharon Steel,,,,,,,,,,,,,,,,,,,,
location,3_ix_through,proposed,location,UNIVSS-SLAB,15,McKees Rocks-PA,Staging,OUT,"Universal Stainless & Alloy (Bridgeville, PA)",Universal Stainless & Alloy,,,,,,,,,,,,,,,,,,,,
shipment,3_ix_through,proposed,shipment,,,,,,,,IX-LAMPS-GE-PENELEC,IX-LAMPS-GE-PENELEC,IX,POHC,,,,"GE (Bridgeville, PA)","Penelec (Erie, PA)",Fluorescent Lamps,Boxcar,GE-LAMP,PENELEC-LAMP,GE-LAMP,PENELEC-LAMP,10,Demmler Yard,POHC->CSX,shipments,Waybill card 43
shipment,3_ix_through,proposed,shipment,,,,,,,,IX-TUBES-GE-GRAYBAR,IX-TUBES-GE-GRAYBAR,IX,POHC,,,,"GE (Bridgeville, PA)","Graybar Electric (St. Louis, MO)",Fluorescent Tubes,Boxcar,GE-TUBE,GRAYBAR-TUBE,GE-TUBE,GRAYBAR-TUBE,10,Demmler Yard,POHC->CSX,shipments,Waybill card 44
shipment,3_ix_through,proposed,shipment,,,,,,,,IX-RESIN-DOW-OI-OTT,IX-RESIN-DOW-OI-OTT,IX,CSX,,,,"Dow Chemical (Midland, MI)","Owens-Illinois (Ottawa, IL)",Plastic Resins,Boxcar,DOWCHEM-PRES,OWENS-PRES-MR,DOWCHEM-PRES,OWENS-PRES-MR,9,Scully Yard,CSX->POHC,shipments,Waybill card 45; reuse DEM-IN-DOW
shipment,3_ix_through,proposed,shipment,,,,,,,,IX-COILS-REP-DEERE,IX-COILS-REP-DEERE,IX,POHC,,,,"Republic Steel (Cleveland, OH)","John Deere (Moline, IL)",Steel Coils,Coil Car,REPUBLIC-COIL,JOHNDEER-COIL,REPUBLIC-COIL,JOHNDEER-COIL,10,Demmler Yard,POHC->CSX,shipments,Waybill card 46; reuse SCL-IN-REP-STEEL
shipment,3_ix_through,proposed,shipment,,,,,,,,IX-COILS-WEIRTON-RYERSON,IX-COILS-WEIRTON-RYERSON,IX,CSX,,,,"Weirton Steel (Weirton, WV)","Ryerson Steel Service (Pittsburgh, PA)",Steel Coils,Coil Car,WEIRTON-COIL,RYERSON-STG-MR,WEIRTON-COIL,RYERSON-STG-MR,9,Scully Yard,CSX->POHC,shipments,Waybill card 47
shipment,3_ix_through,proposed,shipment,,,,,,,,IX-TINPLATE-WHEELING-HEINZ,IX-TINPLATE-WHEELING-HEINZ,IX,POHC,,,,"Wheeling-Pittsburgh Steel (Wheeling, WV)","Heinz (Pittsburgh, PA)",Tin Plate,Coil Car,WHEELING-TINP,HEINZ-TINP,WHEELING-TINP,HEINZ-TINP,10,Demmler Yard,POHC->CSX,shipments,Waybill card 48
shipment,3_ix_through,proposed,shipment,,,,,,,,IX-CARBON-CORP-HOUGHTON,IX-CARBON-CORP-HOUGHTON,IX,CSX,,,,"Calgon Corp (Columbus, OH)","Houghton Chemical (Allston, MA)",Activated Carbon,Covered Hopper,CALGON-IN,HOUGH-ACAR-MR,CALGON-IN,HOUGH-ACAR-MR,9,Scully Yard,CSX->POHC,shipments,Waybill card 49
shipment,3_ix_through,proposed,shipment,,,,,,,,IX-CEMENT-LEHIGH-HOLCIM,IX-CEMENT-LEHIGH-HOLCIM,IX,POHC,,,,"Lehigh Cement (Mitchell, IN)","Holcim (Buffalo, NY)",Cement,Covered Hopper,LEHIGHCE-CEMT,HOLCIM-CEMT,LEHIGHCE-CEMT,HOLCIM-CEMT,10,Demmler Yard,POHC->CSX,shipments,Waybill card 50; reuse SCL-IN-LEHIGH
shipment,3_ix_through,proposed,shipment,,,,,,,,IX-CEMENT-MEDUSA-KNOUSE,IX-CEMENT-MEDUSA-KNOUSE,IX,POHC,,,,"Medusa Cement (Charlevoix, MI)","Knouse Foods (Orrtanna, PA)",Cement,Covered Hopper,MEDUS-CEMT-MR,KNOUSE-CEMT,MEDUS-CEMT-MR,KNOUSE-CEMT,10,Demmler Yard,POHC->CSX,shipments,Waybill card 51
shipment,3_ix_through,proposed,shipment,,,,,,,,IX-PHOSPHOR-GEN-GE,IX-PHOSPHOR-GEN-GE,IX,CSX,,,,"General Chemical (Parsippany, NJ)","GE (Bridgeville, PA)",Phosphor Compounds,Covered Hopper,GENLCHEM-PHOS,GE-PHOS,GENLCHEM-PHOS,GE-PHOS,9,Scully Yard,CSX->POHC,shipments,Waybill card 52
shipment,3_ix_through,proposed,shipment,,,,,,,,IX-PHOSPHOR-GEN-HEINZ,IX-PHOSPHOR-GEN-HEINZ,IX,POHC,,,,"General Chemical (Parsippany, NJ)","Heinz (Pittsburgh, PA)",Phosphor Compounds,Covered Hopper,GENLC-PHOS-MR,HEINZ-PHOS,GENLC-PHOS-MR,HEINZ-PHOS,10,Demmler Yard,POHC->CSX,shipments,Waybill card 53; reuse SCL-IN-GEN-CHEM
shipment,3_ix_through,proposed,shipment,,,,,,,,IX-PELLETS-BASF-OI-TOL,IX-PELLETS-BASF-OI-TOL,IX,POHC,,,,"BASF (Wyandotte, MI)","Owens-Illinois (Toledo, OH)",Plastic Pellets,Covered Hopper,BASF-PLST-MR,OWENSTOL-PLST,BASF-PLST-MR,OWENSTOL-PLST,10,Demmler Yard,POHC->CSX,shipments,Waybill card 54
shipment,3_ix_through,proposed,shipment,,,,,,,,IX-PELLETS-BASF-OI-TOL-CSX,IX-PELLETS-BASF-OI-TOL-CSX,IX,CSX,,,,"BASF (Wyandotte, MI)","Owens-Illinois (Toledo, OH)",Plastic Pellets,Covered Hopper,BASF-PLST,OWENS-PLST-MR,BASF-PLST,OWENS-PLST-MR,9,Scully Yard,CSX->POHC,shipments,Waybill card 55; reuse DEM-IN-BASF + SCL-OUT-OI-TOLEDO
shipment,3_ix_through,proposed,shipment,,,,,,,,IX-FORGINGS-SFP-CAT,IX-FORGINGS-SFP-CAT,IX,POHC,,,,Standard Forged Products (McKees Rocks-PA),"Caterpillar (Peoria, IL)",Forged Components,Flat Car,STDFO-FORG-MR,CATERPIL-FORG,STDFO-FORG-MR,CATERPIL-FORG,10,Demmler Yard,POHC->CSX,shipments,Waybill card 56
shipment,3_ix_through,proposed,shipment,,,,,,,,IX-FORGINGS-SFP-SHARON,IX-FORGINGS-SFP-SHARON,IX,CSX,,,,Standard Forged Products (McKees Rocks-PA),"Sharon Steel (Farrell, PA)",Forged Components,Flat Car,STDFORGE-FORG,SHARON-FORG,STDFORGE-FORG,SHARON-FORG,9,Scully Yard,CSX->POHC,shipments,Waybill card 57
shipment,3_ix_through,proposed,shipment,,,,,,,,IX-STAINLESS-USA-RYERSON,IX-STAINLESS-USA-RYERSON,IX,POHC,,,,"Universal Stainless & Alloy (Bridgeville, PA)","Ryerson Steel (Chicago, IL)",Stainless Bar,Flat Car,UNIVS-SBAR-MR,RYERSON-SBAR,UNIVS-SBAR-MR,RYERSON-SBAR,10,Demmler Yard,POHC->CSX,shipments,Waybill card 58
shipment,3_ix_through,proposed,shipment,,,,,,,,IX-STAINLESS-USA-CARPENTER,IX-STAINLESS-USA-CARPENTER,IX,CSX,,,,"Universal Stainless & Alloy (Bridgeville, PA)","Carpenter Steel (Reading, PA)",Stainless Bar,Flat Car,UNIVSS-SBAR,CARPENTR-SBAR,UNIVSS-SBAR,CARPENTR-SBAR,9,Scully Yard,CSX->POHC,shipments,Waybill card 59
shipment,3_ix_through,proposed,shipment,,,,,,,,IX-SLAB-ALLEGHENY-USA,IX-SLAB-ALLEGHENY-USA,IX,CSX,,,,"Allegheny Ludlum (Brackenridge, PA)","Universal Stainless & Alloy (Bridgeville, PA)",Stainless Slab,Flat Car,ALLEGHEN-SLAB-MK,UNIVSS-SLAB,ALLEGHEN-SLAB-MK,UNIVSS-SLAB,9,Scully Yard,CSX->POHC,shipments,Waybill card 60
shipment,3_ix_through,proposed,shipment,,,,,,,,IX-SLAB-WEIRTON-ARMCO,IX-SLAB-WEIRTON-ARMCO,IX,POHC,,,,"Weirton Steel (Weirton, WV)","Armco Steel (Middletown, OH)",Stainless Slab,Flat Car,WEIRTON-SLAB-MR,ARMCO-SLAB,WEIRTON-SLAB-MR,ARMCO-SLAB,10,Demmler Yard,POHC->CSX,shipments,Waybill card 61
shipment,3_ix_through,proposed,shipment,,,,,,,,IX-BILLETS-REP-SFP,IX-BILLETS-REP-SFP,IX,CSX,,,,"Republic Steel (Cleveland, OH)",Standard Forged Products (McKees Rocks-PA),Steel Billets,Flat Car,REPUBLIC-BILL-MK,STDFORGE-BILL,REPUBLIC-BILL-MK,STDFORGE-BILL,9,Scully Yard,CSX->POHC,shipments,Waybill card 62
shipment,3_ix_through,proposed,shipment,,,,,,,,IX-BILLETS-REP-MCCONWAY,IX-BILLETS-REP-MCCONWAY,IX,CSX,,,,"Republic Steel (Cleveland, OH)","McConway & Torley (Pittsburgh, PA)",Steel Billets,Flat Car,REPUBLIC-BILL-MK,MCCONWAY-STG-MR,REPUBLIC-BILL-MK,MCCONWAY-STG-MR,9,Scully Yard,CSX->POHC,shipments,Waybill card 63
shipment,3_ix_through,proposed,shipment,,,,,,,,IX-PLATE-BETHLEHEM-RYERSON,IX-PLATE-BETHLEHEM-RYERSON,IX,CSX,,,,"Bethlehem Steel (Bethlehem, PA)","Ryerson Steel Service (Pittsburgh, PA)",Steel Plate,Flat Car,BETHLEHM-PLAT,RYERSON-STG-MR,BETHLEHM-PLAT,RYERSON-STG-MR,9,Scully Yard,CSX->POHC,shipments,Waybill card 64
shipment,3_ix_through,proposed,shipment,,,,,,,,IX-SCRAP-ALLEGHENY-MCCONWAY,IX-SCRAP-ALLEGHENY-MCCONWAY,IX,POHC,,,,"Allegheny Ludlum (Brackenridge, PA)","McConway & Torley (Pittsburgh, PA)",Scrap Steel,Gondola,ALLEGHEN-SCRP,MCCONWAY-SCRP,ALLEGHEN-SCRP,MCCONWAY-SCRP,10,Demmler Yard,POHC->CSX,shipments,Waybill card 65; reuse SCL-IN-ALLEGHENY
shipment,3_ix_through,proposed,shipment,,,,,,,,IX-COAL-CONSOL-AEP,IX-COAL-CONSOL-AEP,IX,CSX,,,,"Consol Energy (Pittsburgh, PA)","American Electric Power (Columbus, OH)",Coal,Hopper,CONSOLEN-COAL,AMERICAN-COAL,CONSOLEN-COAL,AMERICAN-COAL,9,Scully Yard,CSX->POHC,shipments,Waybill card 66; reuse DEM-IN-CONSOL
shipment,3_ix_through,proposed,shipment,,,,,,,,IX-REEFER-HEINZ-SYSCO,IX-REEFER-HEINZ-SYSCO,IX,POHC,,,,"Heinz (Pittsburgh, PA)","Sysco Foods (Harrisburg, PA)",Frozen Foods,Reefer,HEINZ-FRZN,SYSCO-FRZN,HEINZ-FRZN,SYSCO-FRZN,10,Demmler Yard,POHC->CSX,shipments,Waybill card 67
shipment,3_ix_through,proposed,shipment,,,,,,,,IX-REEFER-DUBUQUE-GIANT,IX-REEFER-DUBUQUE-GIANT,IX,CSX,,,,"Dubuque Packing Co (Dubuque, IA)","Giant Eagle (Pittsburgh, PA)",Packaged Meats,Reefer,DUBUQUE-MEAT,GIANTEAG-MEAT,DUBUQUE-MEAT,GIANTEAG-MEAT,9,Scully Yard,CSX->POHC,shipments,Waybill card 68
shipment,3_ix_through,proposed,shipment,,,,,,,,IX-ARGON-AIRPROD-GE,IX-ARGON-AIRPROD-GE,IX,POHC,,,,"Air Products (Allentown, PA)","GE (Bridgeville, PA)",Argon,Tank Car,AIRPROD-ARGN,GE-ARGN,AIRPROD-ARGN,GE-ARGN,10,Demmler Yard,POHC->CSX,shipments,Waybill card 69
shipment,3_ix_through,proposed,shipment,,,,,,,,IX-CHEM-DOW-KNOUSE,IX-CHEM-DOW-KNOUSE,IX,CSX,,,,"Dow Chemical (Midland, MI)","Knouse Foods (Orrtanna, PA)",Industrial Gases,Tank Car,DOWCHEM-IGAS,KNOUSE-IGAS-MR,DOWCHEM-IGAS,KNOUSE-IGAS-MR,9,Scully Yard,CSX->POHC,shipments,Waybill card 70; reuse DEM-IN-DOW
shipment,3_ix_through,proposed,shipment,,,,,,,,IX-LPG-MAPCO-SUBURBAN,IX-LPG-MAPCO-SUBURBAN,IX,POHC,,,,"Mapco LP (Memphis, TN)","Suburban Propane (Buffalo, NY)",LPG,Tank Car,MAPCO-LPG,SUBURBAN-LPG,MAPCO-LPG,SUBURBAN-LPG,10,Demmler Yard,POHC->CSX,shipments,Waybill card 71
shipment,3_ix_through,proposed,shipment,,,,,,,,IX-CHEM-EXXON-DUPONT,IX-CHEM-EXXON-DUPONT,IX,POHC,,,,"Exxon Chemical (Bayonne, NJ)","DuPont (Wilmington, DE)",Methyl Methacrylate,Tank Car,EXXONCH-MMA,DUPONT-MMA,EXXONCH-MMA,DUPONT-MMA,10,Demmler Yard,POHC->CSX,shipments,Waybill card 72; reuse SCL-IN-EXXON-BAY
